"STD_YM","SIDO_NM","SGNG_NM","ADONG_NM","BLOCK_CD","SCLS_NM","MCLS_NM","LCLS_NM","SALE_AMT_00TMST","SALE_AMT_01TMST","SALE_AMT_02TMST","SALE_AMT_03TMST","SALE_AMT_04TMST","SALE_AMT_05TMST","SALE_AMT_06TMST","SALE_AMT_07TMST","SALE_AMT_08TMST","SALE_AMT_09TMST","SALE_AMT_10TMST","SALE_AMT_11TMST","SALE_AMT_12TMST","SALE_AMT_13TMST","SALE_AMT_14TMST","SALE_AMT_15TMST","SALE_AMT_16TMST","SALE_AMT_17TMST","SALE_AMT_18TMST","SALE_AMT_19TMST","SALE_AMT_20TMST","SALE_AMT_21TMST","SALE_AMT_22TMST","SALE_AMT_23TMST","APV_CNT_00TMST","APV_CNT_01TMST","APV_CNT_02TMST","APV_CNT_03TMST","APV_CNT_04TMST","APV_CNT_05TMST","APV_CNT_06TMST","APV_CNT_07TMST","APV_CNT_08TMST","APV_CNT_09TMST","APV_CNT_10TMST","APV_CNT_11TMST","APV_CNT_12TMST","APV_CNT_13TMST","APV_CNT_14TMST","APV_CNT_15TMST","APV_CNT_16TMST","APV_CNT_17TMST","APV_CNT_18TMST","APV_CNT_19TMST","APV_CNT_20TMST","APV_CNT_21TMST","APV_CNT_22TMST","APV_CNT_23TMST","PRICE_00TMST","PRICE_01TMST","PRICE_02TMST","PRICE_03TMST","PRICE_04TMST","PRICE_05TMST","PRICE_06TMST","PRICE_07TMST","PRICE_08TMST","PRICE_09TMST","PRICE_10TMST","PRICE_11TMST","PRICE_12TMST","PRICE_13TMST","PRICE_14TMST","PRICE_15TMST","PRICE_16TMST","PRICE_17TMST","PRICE_18TMST","PRICE_19TMST","PRICE_20TMST","PRICE_21TMST","PRICE_22TMST","PRICE_23TMST","DATA_LOAD_DT"
"201603","서울특별시","종로구","가회동","11010600200011000006","호프/맥주","유흥주점","음식","7124426.97","687198.66","1809155.68","0","0","0","0","0","0","0","0","196342.47","532929.57","2538427.68","490856.18","687198.65","785369.89","10013466.28","813418.84","6016494.44","2945137.14","21878161.61","26667515.56","12923542.24","154","14","42","0","0","0","0","0","0","0","0","14","28","112","28","42","42","28","14","56","70","238","336","140","46262.51","49085.62","43075.14","0","0","0","0","0","0","0","0","14024.46","19033.2","22664.53","17530.58","16361.87","18699.28","357623.8","58101.35","107437.4","42073.39","91925.05","79367.61","92311.02","2016-03-30 오후 6:39:23"
"201603","서울특별시","종로구","가회동","11010600200011000007","공예품 판매","기타유통관리업","도매/유통/무역","0","0","0","0","0","0","0","0","0","0","1602016.41","0","32419471.9","7732399.15","2488465.47","2734108.01","1105391.32","0","3705997.96","3940960.33","4870129.88","4266703.68","0","0","0","0","0","0","0","0","0","0","0","0","11","0","620","142","66","99","22","0","44","88","110","77","0","0","0","0","0","0","0","0","0","0","0","0","145637.86","0","52289.47","54453.52","37704.02","27617.25","50245.06","0","84227.23","44783.64","44273.91","55411.74","0","0","2016-03-30 오후 6:39:23"
"201603","서울특별시","종로구","가회동","11010600200011000007","닭요리 전문점","별식/퓨전요리","음식","0","0","0","0","0","0","0","0","0","0","0","0","97862609.19","4549344.73","1240730.38","0","1137336.19","0","1137336.18","8685112.7","14113308.15","1861095.57","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1845","156","52","0","26","0","104","286","26","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53042.06","29162.47","23860.2","0","43743.7","0","10935.92","30367.53","542819.54","35790.3","0","0","2016-03-30 오후 6:39:23"
"201603","서울특별시","종로구","가회동","11010600200011000007","자동차 판매-중고","자동차용품","도매/유통/무역","0","0","0","0","0","0","0","0","0","0","0","40584.42","3017130.87","475264.87","485944.97","240302.47","624786.39","346035.55","96120.98","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","174","22","44","22","33","33","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3689.49","17339.83","21602.95","11044.2","10922.84","18932.92","10485.93","8738.27","0","0","0","0","0","2016-03-30 오후 6:39:23"
"201603","서울특별시","종로구","가회동","11010600200011000007","자동차경정비","자동차/이륜차","생활서비스","0","0","0","0","0","0","0","0","0","0","451148.23","721837.17","0","1672857.61","0","1804592.9","0","0","23378501.09","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","18","0","36","0","18","0","0","108","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25063.79","40102.07","0","46468.27","0","100255.16","0","0","216467.6","0","0","0","0","0","2016-03-30 오후 6:39:23"
"201603","서울특별시","종로구","가회동","11010600200011000007","중국음식/중국집","중식","음식","0","0","0","0","0","0","0","0","0","0","0","1012117.48","108750279.28","4380025.71","1622878.08","610760.56","0","0","1134269.6","6700915.77","15740172.01","5322341.97","0","0","0","0","0","0","0","0","0","0","0","0","0","51","2349","153","85","51","0","0","17","119","153","69","0","0","0","0","0","0","0","0","0","0","0","0","0","19845.44","46296.42","28627.62","19092.68","11975.7","0","0","66721.74","56310.22","102876.94","77135.39","0","0","2016-03-30 오후 6:39:23"
"201603","서울특별시","종로구","가회동","11010600200011000007","커피전문점","다방/커피숍/카페","음식","0","0","0","0","0","0","0","0","0","0","0","0","605957.21","0","0","1281832.57","1398362.79","0","1701341.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46","0","0","46","23","0","46","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13172.98","0","0","27865.93","60798.38","0","36985.68","0","0","0","0","0","2016-03-30 오후 6:39:23"
"201603","서울특별시","종로구","가회동","11010600200011000007","한식/백반 전문점","한식","음식","0","0","0","0","0","0","0","0","0","0","0","0","23629060.89","1641158.91","988322.19","244813.75","0","326418.33","2874294.88","8514078.51","4388513.28","1586755.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","711","63","36","9","0","9","153","225","99","36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33233.56","26050.14","27453.39","27201.53","0","36268.7","18786.24","37840.35","44328.42","44076.55","0","0","2016-03-30 오후 6:39:23"
"201603","서울특별시","종로구","혜화동","11010660100021000003","곱창/양구이전문","한식","음식","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","771976.75","1198595.5","0","0","4794381.95","325042.85","1462692.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","40","0","0","120","20","20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38598.84","29964.89","0","0","39953.18","16252.14","73134.64","2016-03-30 오후 6:39:22"
"201603","서울특별시","종로구","혜화동","11010660100021000003","국수 전문점","분식","음식","0","0","0","0","0","0","0","0","0","0","0","0","0","929255.27","0","185851.05","0","0","557553.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102","0","34","0","0","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9110.35","0","5466.21","0","0","16398.62","0","0","0","0","0","2016-03-30 오후 6:39:22"
