"STD_YM","SIDO_NM","SGNG_NM","ADONG_NM","BLOCK_CD","SCLS_NM","MCLS_NM","LCLS_NM","SUN_SALE_AMT","MON_SALE_AMT","TUS_SALE_AMT","WED_SALE_AMT","THU_SALE_AMT","FRI_SALE_AMT","SAT_SALE_AMT","SUN_APV_CNT","MON_APV_CNT","TUS_APV_CNT","WED_APV_CNT","THU_APV_CNT","FRI_APV_CNT","SAT_APV_CNT","SUN_PRICE","MON_PRICE","TUS_PRICE","WED_PRICE","THU_PRICE","FRI_PRICE","SAT_PRICE","DATA_LOAD_DT"
"201603","서울특별시","종로구","사직동","11010530308031000001","안경점","사진/광학/정밀기기","소매","29367025.74","1744575.78","4216058.15","3779914.19","2762245","0","1177588.65","30","15","30","45","30","0","30","978900.86","116305.05","140535.27","83998.09","92074.83","0","39252.96","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","사직동","11010530308031000001","제과/제빵 전문점","제과제빵떡케익","음식","2858138.31","1969875.66","4112043.61","4692094.48","4404940.58","4284335.92","3147206.54","323","342","418","589","513","475","437","8848.73","5759.87","9837.42","7966.2","8586.63","9019.65","7201.85","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","가방 도매","기타생활용품","도매/유통/무역","7187618.05","2745694.48","5113093.35","2757897.59","4112440.21","3673129.08","2660272.89","144","84","132","48","60","60","96","49914.01","32686.84","38735.56","57456.2","68540.67","61218.82","27711.18","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","경양식 전문점","양식","음식","33811601.35","23336183.91","34086270.87","45060006.93","44310789.71","23167903.56","46973562.26","574","378","392","435","449","406","801","58905.23","61735.94","86954.77","103586.22","98687.73","57063.8","58643.65","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","골동품/예술품 판매","예술품/골동품/수석/분재","소매","1068010.94","0","0","0","0","0","0","11","0","0","0","0","0","0","97091.9","0","0","0","0","0","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","공예품 판매","기타유통관리업","도매/유통/무역","3081211.55","0","0","4592447.03","480604.91","0","74760.77","43","0","0","11","11","0","11","71656.08","0","0","417495.18","43691.36","0","6796.43","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","다방","다방/커피숍/카페","음식","3451625.52","1519554.25","1568496.96","1969360.93","1186277.76","1971691.54","7071054.52","277","115","92","117","46","138","323","12460.74","13213.52","17048.88","16832.14","25788.65","14287.62","21891.81","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","떡볶이 전문점","분식","음식","1576822.6","332462.6","1225362.14","1063880.33","1196865.35","1158869.63","3581097.12","190","57","209","152","95","171","456","8299.07","5832.68","5862.98","6999.21","12598.58","6777.02","7853.28","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","병원-치과","병원","의료","0","27310924.38","16806722.69","0","15966386.57","0","1260504.2","0","126","42","0","84","0","42","0","216753.37","400160.06","0","190076.03","0","30012","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","사진관","사진","생활서비스","5181873.58","1016053.65","635033.51","1524080.47","1143060.33","508026.82","2209916.65","225","25","25","75","50","25","75","23030.55","40642.15","25401.34","20321.07","22861.21","20321.07","29465.56","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","슈퍼마켓 일반점","종합소매점","소매","1183556.75","782509.15","738673.69","652868.16","1207806.06","803960.52","842199.95","235","135","108","99","207","144","225","5036.41","5796.36","6839.57","6594.63","5834.81","5583.06","3743.11","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","신문사","광고/인쇄","생활서비스","7166353.32","0","4645847.52","3631237.2","4261363.61","4982270.98","6594967.5","275","0","209","187","231","187","275","26059.47","0","22228.94","19418.38","18447.46","26643.16","23981.7","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","신발 판매","가방/신발/액세서리","소매","13555569.47","1965102.69","13155270.76","21652520.35","6186434.38","9152283.82","10899041.75","162","18","108","108","72","72","162","83676.35","109172.37","121808.06","200486.3","85922.7","127115.05","67278.04","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","액세서리용품 판매","가방/신발/액세서리","소매","27110174.02","4872285.76","5125601.5","8890304.59","16589486.21","9987107.84","29546316.89","108","216","216","189","135","81","243","251020.13","22556.88","23729.64","47038.65","122885.08","123297.63","121589.78","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","오리고기 전문점","별식/퓨전요리","음식","9956457.12","7884039","7625908.6","3200816.58","4425092.07","8555177.93","12051000.64","255","120","195","75","120","165","330","39044.93","65700.33","39107.22","42677.55","36875.77","51849.56","36518.18","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","의류 판매-남성전문","의복","소매","8505690.17","81544874.8","8930974.69","11180866.93","4170531.96","14171577.35","13710623.81","112","98","126","112","56","153","182","75943.66","832090.56","70880.75","99829.17","74473.79","92624.69","75333.1","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","의류 판매-여성전문","의복","소매","1524910.94","243985.75","0","2098995.07","3175402.79","3893007.94","3553939.51","18","18","0","36","36","36","72","84717.27","13554.76","0","58305.42","88205.63","108139.11","49360.27","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","일반건설업-인테리어","일반건설업","도매/유통/무역","0","0","85440.88","149521.53","0","341763.49","1185492.13","0","0","11","11","0","11","22","0","0","7767.35","13592.87","0","31069.41","53886.01","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","일상복 판매","의복","소매","38002574.82","7642494.87","16971361.82","3035469.79","3632876.08","6189344.41","14908246.99","270","72","90","18","54","72","162","140750.28","106145.76","188570.69","168637.21","67275.48","85963.12","92026.22","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","잡화점","종합소매점","소매","26351138.95","9925944.36","8827427.14","2373837.77","4712102.49","10079917.28","28233325.27","619","189","243","135","162","296","808","42570.5","52518.22","36326.86","17583.98","29087.05","34053.77","34942.23","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","전시관","전시/관람","관광/여가/오락","0","0","0","373803.82","0","373803.82","0","0","0","0","11","0","11","0","0","0","0","33982.17","0","33982.17","0","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","카페","다방/커피숍/카페","음식","2135930.61","1873793.68","543691.43","1640783.07","2067969.19","1194179.39","5640798.62","76","95","19","57","38","38","152","28104.35","19724.14","28615.34","28785.67","54420.24","31425.77","37110.52","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","커피전문점","다방/커피숍/카페","음식","24997133.37","7625738.44","5164619.93","9334071.68","10788369.04","5358060.1","13486276.98","1618","552","556","555","715","483","1414","15449.4","13814.74","9288.88","16818.15","15088.63","11093.29","9537.68","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","프랜차이즈_기타세계요리 전문점","프랜차이즈_양식","프랜차이즈_음식","16090566.9","4851482.76","5083558.22","5580862.87","3635849.23","11062264.76","12277898.23","330","154","110","132","132","242","352","48759.29","31503.13","46214.17","42279.26","27544.31","45711.84","34880.39","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","프랜차이즈_제과/제빵 전문점","프랜차이즈_제과제빵떡케익","프랜차이즈_음식","13770943.15","47670799.11","27256646.63","26310570.33","24577500.81","34904894.57","11971253.97","1539","3996","3897","4072","4111","4056","1292","8947.98","11929.63","6994.26","6461.34","5978.47","8605.74","9265.68","2016-03-30 오후 6:39:20"
"201603","서울특별시","종로구","삼청동","11010540100021000001","프랜차이즈_커피전문점","프랜차이즈_다방/커피숍/카페","프랜차이즈_음식","2235049.89","673544.74","1538199.07","1857491.91","1878467.36","279672.56","2421498.25","277","69","138","115","184","46","253","8068.77","9761.52","11146.37","16152.1","10209.06","6079.84","9571.14","2016-03-30 오후 6:39:20"
