,stdr_yy_cd,stdr_qu_cd,trdar_se_cd,trdar_se_cd_nm,trdar_cd,trdar_cd_nm,tot_flpop_co
23977,2018,1,A,골목상권,1000140,능동로3길,322535
23978,2018,1,A,골목상권,1000141,능동로4길,134784
23979,2018,1,A,골목상권,1000142,동일로18길,234274
23980,2018,1,A,골목상권,1000143,동일로24길,394582
23981,2018,1,A,골목상권,1000144,뚝섬로23길,237978
23982,2018,1,A,골목상권,1000145,뚝섬로24길,95826
23983,2018,1,A,골목상권,1000146,뚝섬로48길,214725
23984,2018,1,A,골목상권,1000147,뚝섬로54길,78851
23985,2018,1,A,골목상권,1000148,뚝섬로58길,139107
23986,2018,1,A,골목상권,1000149,뚝섬로64길,115955
23987,2018,1,A,골목상권,1000150,면목로17길,298577
23988,2018,1,A,골목상권,1000151,아차산로40길,186140
23989,2018,1,A,골목상권,1000152,아차산로51길,97435
23990,2018,1,A,골목상권,1000153,아차산로55길,446727
23991,2018,1,A,골목상권,1000154,아차산로65길,190459
23992,2018,1,A,골목상권,1000155,아차산로78길,190144
23993,2018,1,A,골목상권,1000156,용마산로21길,343000
23994,2018,1,A,골목상권,1000157,용마산로3길,140827
23995,2018,1,A,골목상권,1000158,자양로11길,542286
23996,2018,1,A,골목상권,1000159,자양로15길,232582
23997,2018,1,A,골목상권,1000160,자양로26길,200888
23998,2018,1,A,골목상권,1000161,자양로45길,377527
23999,2018,1,A,골목상권,1000162,자양로50길,133931
24000,2018,1,A,골목상권,1000163,자양로53길,141783
24001,2018,1,A,골목상권,1000164,자양번영로3길,208265
24002,2018,1,A,골목상권,1000165,천호대로109길,804255
24003,2018,1,A,골목상권,1000166,천호대로123길,107752
24004,2018,1,A,골목상권,1000167,천호대로129길,224698
24005,2018,1,A,골목상권,1000168,경희대로3길,134506
24006,2018,1,A,골목상권,1000169,경희대로4길,1020582
24007,2018,1,A,골목상권,1000170,난계로30길,79464
24008,2018,1,A,골목상권,1000171,답십리로23길,699128
24009,2018,1,A,골목상권,1000172,답십리로56길,178921
24010,2018,1,A,골목상권,1000173,답십리로60길,30024
24011,2018,1,A,골목상권,1000174,답십리로63길,58720
24012,2018,1,A,골목상권,1000175,답십리로64길,146144
24013,2018,1,A,골목상권,1000176,답십리로68길,157410
24014,2018,1,A,골목상권,1000177,답십리로69길,151067
24015,2018,1,A,골목상권,1000178,답십리로72길,187639
24016,2018,1,A,골목상권,1000179,망우로18가길,193928
24017,2018,1,A,골목상권,1000180,망우로18길,358373
24018,2018,1,A,골목상권,1000181,망우로21길,127740
24019,2018,1,A,골목상권,1000182,무학로16길,34320
24020,2018,1,A,골목상권,1000183,무학로45길,255394
24021,2018,1,A,골목상권,1000184,사가정로13길,67984
24022,2018,1,A,골목상권,1000185,사가정로23가길,109567
24023,2018,1,A,골목상권,1000186,사가정로2길,124457
24024,2018,1,A,골목상권,1000187,서울시립대로16길,213435
24025,2018,1,A,골목상권,1000188,서울시립대로29길,489868
24026,2018,1,A,골목상권,1000189,서울시립대로4길,169288
24027,2018,1,A,골목상권,1000190,약령시로17길,188895
24028,2018,1,A,골목상권,1000191,왕산로32길,88592
24029,2018,1,A,골목상권,1000192,왕산로33길,241330
24030,2018,1,A,골목상권,1000193,왕산로43길,299508
24031,2018,1,A,골목상권,1000194,이문로42길,340629
24032,2018,1,A,골목상권,1000195,장한로14길,53296
24033,2018,1,A,골목상권,1000196,장한로25길,149740
24034,2018,1,A,골목상권,1000197,장한로26가길,128345
24035,2018,1,A,골목상권,1000198,장한로26길,312983
24036,2018,1,A,골목상권,1000199,장한로27가길,96882
24037,2018,1,A,골목상권,1000200,장한로27길,278185
24038,2018,1,A,골목상권,1000201,장한로5길,276739
24039,2018,1,A,골목상권,1000202,장한로8길,122446
24040,2018,1,A,골목상권,1000203,전농로29길,271219
24041,2018,1,A,골목상권,1000204,전농로3길,126584
24042,2018,1,A,골목상권,1000205,전농로4길,78508
24043,2018,1,A,골목상권,1000206,제기로21길,152306
24044,2018,1,A,골목상권,1000207,제기로5길,329310
24045,2018,1,A,골목상권,1000208,천장산로7길,319535
24046,2018,1,A,골목상권,1000209,천호대로12길,38288
24047,2018,1,A,골목상권,1000210,천호대로17길,511596
24048,2018,1,A,골목상권,1000211,천호대로45길,177609
24049,2018,1,A,골목상권,1000212,천호대로77길,121324
24050,2018,1,A,골목상권,1000213,천호대로97길,111885
24051,2018,1,A,골목상권,1000214,한천로14길,268323
24052,2018,1,A,골목상권,1000215,한천로33길,115143
24053,2018,1,A,골목상권,1000216,한천로40길,100546
24054,2018,1,A,골목상권,1000217,한천로46길,75119
24055,2018,1,A,골목상권,1000218,휘경로14길,182504
24056,2018,1,A,골목상권,1000219,휘경로23길,220013
24057,2018,1,A,골목상권,1000220,휘경로2길,510293
24058,2018,1,A,골목상권,1000221,휘경로3길,831746
24059,2018,1,A,골목상권,1000222,겸재로29길,320675
24060,2018,1,A,골목상권,1000223,겸재로36길,209369
24061,2018,1,A,골목상권,1000224,겸재로54길,186553
24062,2018,1,A,골목상권,1000225,공릉로12가길,57391
24063,2018,1,A,골목상권,1000226,공릉로2길,250045
24064,2018,1,A,골목상권,1000227,답십리로75길,128751
24065,2018,1,A,골목상권,1000228,동일로100길,127494
24066,2018,1,A,골목상권,1000229,동일로101길,273800
24067,2018,1,A,골목상권,1000230,동일로112길,453097
24068,2018,1,A,골목상권,1000231,동일로123길,219670
24069,2018,1,A,골목상권,1000232,동일로130길,205461
24070,2018,1,A,골목상권,1000233,동일로139가길,207999
24071,2018,1,A,골목상권,1000234,동일로139길,89079
24072,2018,1,A,골목상권,1000235,동일로140길,180153
24073,2018,1,A,골목상권,1000236,동일로149길,68311
24074,2018,1,A,골목상권,1000237,동일로157길,323061
24075,2018,1,A,골목상권,1000238,동일로163길,232952
24076,2018,1,A,골목상권,1000239,망우로68길,213329
24077,2018,1,A,골목상권,1000240,망우로73길,214199
24078,2018,1,A,골목상권,1000241,면목로21길,129990
24079,2018,1,A,골목상권,1000242,면목로33길,284904
24080,2018,1,A,골목상권,1000243,면목로45길,190711
24081,2018,1,A,골목상권,1000244,면목로48길,144293
24082,2018,1,A,골목상권,1000245,면목로49길,225230
24083,2018,1,A,골목상권,1000246,면목로55길,220633
24084,2018,1,A,골목상권,1000247,면목로56길,188355
24085,2018,1,A,골목상권,1000248,면목로78길,466310
24086,2018,1,A,골목상권,1000249,봉우재로33길,289255
24087,2018,1,A,골목상권,1000250,봉화산로30길,154861
24088,2018,1,A,골목상권,1000251,봉화산로4길,146117
24089,2018,1,A,골목상권,1000252,봉화산로56길,379630
24090,2018,1,A,골목상권,1000253,사가정로42길,67912
24091,2018,1,A,골목상권,1000254,사가정로54길,362167
24092,2018,1,A,골목상권,1000255,신내로7가길,144407
24093,2018,1,A,골목상권,1000256,용마산로100길,72049
24094,2018,1,A,골목상권,1000257,용마산로112길,233064
24095,2018,1,A,골목상권,1000258,용마산로118길,167380
24096,2018,1,A,골목상권,1000259,용마산로94길,61964
24097,2018,1,A,골목상권,1000260,중랑천로10길,362153
24098,2018,1,A,골목상권,1000261,길음로7길,111512
24099,2018,1,A,골목상권,1000262,돌곶이로14길,88089
24100,2018,1,A,골목상권,1000263,돌곶이로22길,128071
24101,2018,1,A,골목상권,1000264,돌곶이로27길,166544
24102,2018,1,A,골목상권,1000265,돌곶이로28길,143665
24103,2018,1,A,골목상권,1000266,돌곶이로41길,100238
24104,2018,1,A,골목상권,1000267,돌곶이로8길,74405
24105,2018,1,A,골목상권,1000268,동소문로13길,241375
24106,2018,1,A,골목상권,1000269,동소문로15길,149797
24107,2018,1,A,골목상권,1000270,동소문로26가길,496316
24108,2018,1,A,골목상권,1000271,동소문로2길,78224
24109,2018,1,A,골목상권,1000272,동소문로6길,131822
24110,2018,1,A,골목상권,1000273,보국문로16길,126820
24111,2018,1,A,골목상권,1000274,보문로13길,365888
24112,2018,1,A,골목상권,1000275,보문로26길,32528
24113,2018,1,A,골목상권,1000276,보문로31길,275586
24114,2018,1,A,골목상권,1000277,보문로32길,864596
24115,2018,1,A,골목상권,1000278,삼선교로10길,478051
24116,2018,1,A,골목상권,1000279,삼선교로10다길,142180
24117,2018,1,A,골목상권,1000280,삼선교로16가길,497570
24118,2018,1,A,골목상권,1000281,삼양로8길,83666
24119,2018,1,A,골목상권,1000282,성북로8길,80759
24120,2018,1,A,골목상권,1000283,솔샘로6길,133711
24121,2018,1,A,골목상권,1000284,아리랑로4길,204613
24122,2018,1,A,골목상권,1000285,안암로5길,134189
24123,2018,1,A,골목상권,1000286,오패산로19길,305918
24124,2018,1,A,골목상권,1000287,오패산로3길,186684
24125,2018,1,A,골목상권,1000288,오패산로4길,344073
24126,2018,1,A,골목상권,1000289,인촌로17가길,278720
24127,2018,1,A,골목상권,1000290,인촌로1길,282866
24128,2018,1,A,골목상권,1000291,개운사길,347037
24129,2018,1,A,골목상권,1000292,인촌로24길,657252
24130,2018,1,A,골목상권,1000293,인촌로5길,231340
24131,2018,1,A,골목상권,1000294,인촌로6길,127883
24132,2018,1,A,골목상권,1000295,장월로1길,390168
24133,2018,1,A,골목상권,1000296,장위로50길,49922
24134,2018,1,A,골목상권,1000297,정릉로26길,161039
24135,2018,1,A,골목상권,1000298,정릉로27길,109001
24136,2018,1,A,골목상권,1000299,정릉로8길,108900
24137,2018,1,A,골목상권,1000300,종암로16길,131068
24138,2018,1,A,골목상권,1000301,종암로19길,163297
24139,2018,1,A,골목상권,1000302,종암로21길,104490
24140,2018,1,A,골목상권,1000303,종암로24가길,121550
24141,2018,1,A,골목상권,1000304,종암로5길,170397
24142,2018,1,A,골목상권,1000305,지봉로20길,222417
24143,2018,1,A,골목상권,1000306,창경궁로43길,216114
24144,2018,1,A,골목상권,1000307,한천로101가길,66672
24145,2018,1,A,골목상권,1000308,한천로76길,169887
24146,2018,1,A,골목상권,1000309,화랑로13길,185852
24147,2018,1,A,골목상권,1000310,화랑로14길,442998
24148,2018,1,A,골목상권,1000311,화랑로19길,152577
24149,2018,1,A,골목상권,1000312,화랑로1길,144446
24150,2018,1,A,골목상권,1000313,화랑로32길,120730
24151,2018,1,A,골목상권,1000314,화랑로40길,177289
24152,2018,1,A,골목상권,1000315,노해로17길,134103
24153,2018,1,A,골목상권,1000316,노해로23길,106653
24154,2018,1,A,골목상권,1000317,노해로33길,129403
24155,2018,1,A,골목상권,1000318,덕릉로40길,70888
24156,2018,1,A,골목상권,1000319,덕릉로41길,220306
24157,2018,1,A,골목상권,1000320,도봉로13길,229190
24158,2018,1,A,골목상권,1000321,도봉로18길,142469
24159,2018,1,A,골목상권,1000322,도봉로45길,191870
24160,2018,1,A,골목상권,1000323,도봉로67길,124918
24161,2018,1,A,골목상권,1000324,도봉로76길,407105
24162,2018,1,A,골목상권,1000325,도봉로8길,81960
24163,2018,1,A,골목상권,1000326,도봉로99길,50625
24164,2018,1,A,골목상권,1000327,삼각산로28길,81885
24165,2018,1,A,골목상권,1000328,삼양로20길,99079
24166,2018,1,A,골목상권,1000329,삼양로24길,209772
24167,2018,1,A,골목상권,1000330,삼양로27길,282869
24168,2018,1,A,골목상권,1000331,삼양로41길,440487
24169,2018,1,A,골목상권,1000332,삼양로54길,70697
24170,2018,1,A,골목상권,1000333,삼양로77길,90990
24171,2018,1,A,골목상권,1000334,삼양로93길,155507
24172,2018,1,A,골목상권,1000335,솔매로41길,84069
24173,2018,1,A,골목상권,1000336,솔매로45길,225565
24174,2018,1,A,골목상권,1000337,솔매로50길,553517
24175,2018,1,A,골목상권,1000338,솔샘로65길,435512
24176,2018,1,A,골목상권,1000339,수유로12길,324555
24177,2018,1,A,골목상권,1000340,오패산로30길,57697
24178,2018,1,A,골목상권,1000341,오패산로52길,245049
24179,2018,1,A,골목상권,1000342,오패산로67길,385711
24180,2018,1,A,골목상권,1000343,인수봉로56길,57893
24181,2018,1,A,골목상권,1000344,인수봉로72길,145179
24182,2018,1,A,골목상권,1000345,인수봉로79길,63753
24183,2018,1,A,골목상권,1000346,한천로109길,292242
24184,2018,1,A,골목상권,1000347,한천로124나길,226479
24185,2018,1,A,골목상권,1000348,한천로130길,171899
24186,2018,1,A,골목상권,1000349,한천로132길,456728
24187,2018,1,A,골목상권,1000350,한천로139가길,218572
24188,2018,1,A,골목상권,1000351,한천로140길,249102
24189,2018,1,A,골목상권,1000352,노해로60길,458039
24190,2018,1,A,골목상권,1000353,노해로63다길,163336
24191,2018,1,A,골목상권,1000354,덕릉로60길,102484
24192,2018,1,A,골목상권,1000355,도당로13가길,71734
24193,2018,1,A,골목상권,1000356,도당로13바길,51485
24194,2018,1,A,골목상권,1000357,도당로19길,180940
24195,2018,1,A,골목상권,1000358,도당로29길,115008
24196,2018,1,A,골목상권,1000359,도봉로109길,220607
24197,2018,1,A,골목상권,1000360,도봉로114길,780495
24198,2018,1,A,골목상권,1000361,도봉로143길,205780
24199,2018,1,A,골목상권,1000362,도봉로147길,252600
24200,2018,1,A,골목상권,1000363,도봉로152가길,41788
24201,2018,1,A,골목상권,1000364,도봉로156길,97707
24202,2018,1,A,골목상권,1000365,도봉로169나길,52362
24203,2018,1,A,골목상권,1000366,도봉로181길,69409
24204,2018,1,A,골목상권,1000367,도봉산4길,7252
24205,2018,1,A,골목상권,1000368,도봉산길,42204
24206,2018,1,A,골목상권,1000369,방학로10길,96711
24207,2018,1,A,골목상권,1000370,방학로15길,42821
24208,2018,1,A,골목상권,1000371,방학로5길,195576
24209,2018,1,A,골목상권,1000372,방학로6가길,256390
24210,2018,1,A,골목상권,1000373,삼양로144길,67148
24211,2018,1,A,골목상권,1000374,시루봉로23길,101431
24212,2018,1,A,골목상권,1000375,우이천로32길,158891
24213,2018,1,A,골목상권,1000376,우이천로4다길,95604
24214,2018,1,A,골목상권,1000377,해등로16길,140526
24215,2018,1,A,골목상권,1000378,공릉로58길,149154
24216,2018,1,A,골목상권,1000379,동일로173가길,428060
24217,2018,1,A,골목상권,1000380,동일로192길,426240
24218,2018,1,A,골목상권,1000381,동일로242길,166512
24219,2018,1,A,골목상권,1000382,상계로12길,138272
24220,2018,1,A,골목상권,1000383,상계로1길,179645
24221,2018,1,A,골목상권,1000384,상계로9가길,551472
24222,2018,1,A,골목상권,1000385,석계로1길,359334
24223,2018,1,A,골목상권,1000386,한글비석로22길,252472
24224,2018,1,A,골목상권,1000387,한글비석로24길,262303
24225,2018,1,A,골목상권,1000388,한글비석로44길,258038
24226,2018,1,A,골목상권,1000389,가좌로7길,301036
24227,2018,1,A,골목상권,1000390,갈현로1길,141863
24228,2018,1,A,골목상권,1000391,갈현로33길,224082
24229,2018,1,A,골목상권,1000392,갈현로41길,70234
24230,2018,1,A,골목상권,1000393,갈현로7길,329786
24231,2018,1,A,골목상권,1000394,불광천길,271316
24232,2018,1,A,골목상권,1000395,서오릉로21길,162614
24233,2018,1,A,골목상권,1000396,서오릉로8길,71604
24234,2018,1,A,골목상권,1000397,수색로18길,70723
24235,2018,1,A,골목상권,1000398,역말로9길,117434
24236,2018,1,A,골목상권,1000399,연서로11길,249192
24237,2018,1,A,골목상권,1000400,연서로13길,139911
24238,2018,1,A,골목상권,1000401,연서로16길,375039
24239,2018,1,A,골목상권,1000402,연서로17길,177159
24240,2018,1,A,골목상권,1000403,연서로21길,264867
24241,2018,1,A,골목상권,1000404,연서로27길,43471
24242,2018,1,A,골목상권,1000405,연서로28길,559624
24243,2018,1,A,골목상권,1000406,연서로29길,111875
24244,2018,1,A,골목상권,1000407,연서로33길,116164
24245,2018,1,A,골목상권,1000408,연서로34길,188952
24246,2018,1,A,골목상권,1000409,연서로3길,277573
24247,2018,1,A,골목상권,1000410,연서로41길,195416
24248,2018,1,A,골목상권,1000411,연서로5길,23725
24249,2018,1,A,골목상권,1000412,은평로10길,259119
24250,2018,1,A,골목상권,1000413,은평로13길,108793
24251,2018,1,A,골목상권,1000414,은평로20길,59795
24252,2018,1,A,골목상권,1000415,은평로3길,322766
24253,2018,1,A,골목상권,1000416,은평로8길,182569
24254,2018,1,A,골목상권,1000417,응암로12길,215408
24255,2018,1,A,골목상권,1000418,응암로13길,156300
24256,2018,1,A,골목상권,1000419,응암로14길,227162
24257,2018,1,A,골목상권,1000420,응암로22길,229344
24258,2018,1,A,골목상권,1000421,응암로34길,142122
24259,2018,1,A,골목상권,1000422,증산로13길,82723
24260,2018,1,A,골목상권,1000423,증산로15길,29724
24261,2018,1,A,골목상권,1000424,증산로17길,135601
24262,2018,1,A,골목상권,1000425,증산로21길,329644
24263,2018,1,A,골목상권,1000426,증산로5길,109126
24264,2018,1,A,골목상권,1000427,증산로9길,31141
24265,2018,1,A,골목상권,1000428,증산서길,100534
24266,2018,1,A,골목상권,1000429,진흥로12길,262433
24267,2018,1,A,골목상권,1000430,진흥로1길,342586
24268,2018,1,A,골목상권,1000431,통일로69길,45581
24269,2018,1,A,골목상권,1000432,통일로78길,106995
24270,2018,1,A,골목상권,1000433,통일로87길,326033
24271,2018,1,A,골목상권,1000434,통일로92길,195807
24272,2018,1,A,골목상권,1000435,가재울로6길,237552
24273,2018,1,A,골목상권,1000436,독립문로8길,301283
24274,2018,1,A,골목상권,1000437,명지대길,222497
24275,2018,1,A,골목상권,1000438,모래내로15길,228331
24276,2018,1,A,골목상권,1000439,북아현로4길,1595504
24277,2018,1,A,골목상권,1000440,세검정로1길,101733
24278,2018,1,A,골목상권,1000441,세무서2길,101885
24279,2018,1,A,골목상권,1000442,세무서길,237857
24280,2018,1,A,골목상권,1000443,수색로8길,206923
24281,2018,1,A,골목상권,1000444,신촌로37길,181417
24282,2018,1,A,골목상권,1000445,연희로10길,186488
24283,2018,1,A,골목상권,1000446,응암로1길,227555
24284,2018,1,A,골목상권,1000447,증가로10길,351698
24285,2018,1,A,골목상권,1000448,증가로20가길,189226
24286,2018,1,A,골목상권,1000449,증가로23나길,360546
24287,2018,1,A,골목상권,1000450,증가로6길,122536
24288,2018,1,A,골목상권,1000451,충정로4길,360322
24289,2018,1,A,골목상권,1000452,충정로6길,157145
24290,2018,1,A,골목상권,1000453,통일로11길,45865
24291,2018,1,A,골목상권,1000454,통일로37길,78722
24292,2018,1,A,골목상권,1000455,통일로39길,325333
24293,2018,1,A,골목상권,1000456,홍연길,144918
24294,2018,1,A,골목상권,1000457,홍제내길,147187
24295,2018,1,A,골목상권,1000458,광성로6길,267424
24296,2018,1,A,골목상권,1000459,대흥로21길,427824
24297,2018,1,A,골목상권,1000460,대흥로28길,285306
24298,2018,1,A,골목상권,1000461,도화4길,160420
24299,2018,1,A,골목상권,1000462,도화길,379746
24300,2018,1,A,골목상권,1000463,독막로22길,146300
24301,2018,1,A,골목상권,1000464,독막로32길,112826
24302,2018,1,A,골목상권,1000465,독막로8길,188103
24303,2018,1,A,골목상권,1000466,동교로17길,170783
24304,2018,1,A,골목상권,1000467,동교로19길,275614
24305,2018,1,A,골목상권,1000468,동교로25길,107868
24306,2018,1,A,골목상권,1000469,동교로27길,297633
24307,2018,1,A,골목상권,1000470,동교로38길,169947
24308,2018,1,A,골목상권,1000471,마포대로12길,41811
24309,2018,1,A,골목상권,1000472,마포대로20길,331336
24310,2018,1,A,골목상권,1000473,마포대로4길,190682
24311,2018,1,A,골목상권,1000474,만리재옛길,399241
24312,2018,1,A,골목상권,1000475,망원로11길,45326
24313,2018,1,A,골목상권,1000476,망원로2길,279147
24314,2018,1,A,골목상권,1000477,매봉산로2길,493427
24315,2018,1,A,골목상권,1000478,모래내로7길,91846
24316,2018,1,A,골목상권,1000479,방울내로9안길,398077
24317,2018,1,A,골목상권,1000480,백범로16길,325807
